,Tourist Sites,Near_T_Hub,Trans_Dist,Near_GP,GP_Dist,PostCode
303,TULLYLAGAN MANOR,Cookstown Bus Station,5.96,Dr. MCKEEVER & PARTNERS             ,5.59,BT80 8PE
304,LOUGHRY,Cookstown Bus Station,3.63,Dr. MCKEEVER & PARTNERS             ,3.31,BT80 8PE
305,KILLYMOON CASTLE,Cookstown Bus Station,2.48,Dr. MCKEEVER & PARTNERS             ,2.32,BT80 8PE
306,"AUGHNACLOY (RAVELLEA), THE THISTLE",Dungannon Bus Station,16.89,Dr. POTTER                          ,1.02,BT80 8PE
307,FAVOUR ROYAL,Dungannon Bus Station,19.99,Dr. POTTER                          ,4.92,BT80 8PE
308,ELMFIELD,Scarva Rail Halt,6.02,Dr. MAGOWAN & PARTNERS              ,1.67,BT63 6JS
309,LAWRENCETOWN HOUSE,Banbridge Bus Station,4.44,Dr. MAGOWAN & PARTNERS              ,2.86,BT63 6JS
310,WOOD BANK,Scarva Rail Halt,5.7,Dr. MAGOWAN & PARTNERS              ,1.55,BT63 6JS
311,MOYALLON HOUSE,Portadown Rail Station,4.87,Dr. MAGOWAN & PARTNERS              ,3.22,BT63 6JS
312,GILFORD CASTLE,Scarva Rail Halt,4.17,Dr. MAGOWAN & PARTNERS              ,0.7,BT63 6JS
313,FAIRVIEW HOUSE - Tannaghmore Gardens,Craigavon Bus Station,1.77,Dr. WILKINSON & PARTNERS            ,1.95,BT65 5BE
314,RAUGHLAN (ROCKLAND),Craigavon Bus Station,4.43,Dr. MCAULEY & PARTNERS              ,4.69,BT66 6JB
315,WARINGSTOWN HOUSE,Lurgan Rail Station,4.69,Dr. HUNTER & PARTNER                ,3.09,BT66 7LR
316,STRAW HILL (DONAGHCLONEY),Lurgan Rail Station,7.02,Dr. HUNTER & PARTNER                ,0.39,BT66 7LR
317,BROWNLOW HOUSE (LURGAN PARK),Lurgan Rail Station,1.13,Dr. FITZPATRICK & PARTNERS          ,0.55,BT66 8BA
318,MOIRA CASTLE DEMESNE,Moira Rail Halt,1.23,Dr. SPENCE & PARTNERS               ,0.51,BT67 0LQ
319,BROOKFIELD HOUSE,Banbridge Bus Station,1.3,Dr. MCCLOSKEY & PARTNERS            ,0.85,BT67 9BW
320,"AUGHNACLOY (RAVELLEA), THE THISTLE",Dungannon Bus Station,16.89,Dr. POTTER                          ,1.02,BT69 6AF
321,FAVOUR ROYAL,Dungannon Bus Station,19.99,Dr. POTTER                          ,4.92,BT69 6AF
322,STRANMILLIS HOUSE (COLLEGE),Belfast - Adelaide Rail Halt,1.36,Dr. MCCARTNEY & PARTNERS            ,1.25,BT7 1NP
323,GROUP OF CONTIGUOUS SITES,Belfast - Adelaide Rail Halt,1.3,Dr. MCCARTNEY & PARTNERS            ,0.87,BT7 1NP
324,BOTANIC GARDENS PARK,Belfast - Botanic Rail Station,0.8,Dr. MCCARTNEY & PARTNERS            ,0.48,BT7 1NP
325,ORMEAU PARK,Belfast - Central Rail Station,1.04,Dr. DIAMOND & PARTNERS              ,0.46,BT7 2EB
326,STORMONT CASTLE AND PARLIAMENT BUILDINGS,Belfast - Sydenham Rail Halt,3.46,Dr. MONCRIEFF & PARTNERS            ,1.49,BT5 7BP
327,ANDERSON PARK,Coleraine Bus & Rail,0.52,Dr. MAXWELL & PARTNERS              ,0.69,BT51 3HP
328,GUY WILSON DAFFODIL GARDEN,Coleraine University Rail Halt,0.6,Dr. MAXWELL & PARTNERS              ,1.4,BT51 3HP
329,DOWNHILL,Castlerock Rail Halt,1.3,Dr. WHITE                           ,1.24,BT51 4TW
330,BOVAGH HOUSE,Ballymoney Rail Station,8.55,Dr. CONNOR & PARTNERS               ,6.01,BT51 5AE
331,MOORE LODGE,Ballymoney Rail Station,9.79,Dr. MCCORMACK & PARTNERS            ,3.29,BT51 5QP
332,HOLY HILL or HOLLY HILL HOUSE,L'Derry Rail Station,17.56,Dr. O'FLAHERTY & PARTNERS           ,4.32,BT82 8AS
333,GROVELANDS GARDEN (MUSGRAVE PARK),Belfast - Balmoral Rail Halt,0.16,Dr. HUGHES                          ,0.56,BT9 6GR
334,CRANMORE,Belfast - Adelaide Rail Halt,1.09,Dr. HUGHES                          ,0.85,BT9 6GR
335,DRUMGLASS,Belfast - Adelaide Rail Halt,0.49,Dr. HUGHES                          ,0.62,BT9 6GR
336,CROM CASTLE,Enniskillen Bus Station,23.36,Dr. DOLAN & PARTNERS                ,10.22,BT92 0GT
337,BELLE ISLE,Enniskillen Bus Station,10.09,Dr. DOLAN & PARTNERS                ,7.51,BT92 0GT
338,MANOR WATERHOUSE,Enniskillen Bus Station,18.97,Dr. DOLAN & PARTNERS                ,3.48,BT92 0GT
339,DRESTERNAN CASTLE,Enniskillen Bus Station,18.51,Dr. DOLAN & PARTNERS                ,9.24,BT92 0GT
340,KNOCKBALLYMORE,Enniskillen Bus Station,29.89,Dr. DOLAN & PARTNERS                ,14.08,BT92 0GT
341,FLORENCE COURT,Enniskillen Bus Station,11.94,Dr. CUNNINGHAM & PARTNERS           ,2.74,BT92 1BZ
342,GARDENHILL,Enniskillen Bus Station,14.0,Dr. CUNNINGHAM & PARTNERS           ,10.33,BT92 1BZ
343,CASTLE CALDWELL,Enniskillen Bus Station,26.79,Dr. HERDMAN & PARTNERS              ,8.07,BT93 3FY
344,NECARNE CASTLE (CASTLE IRVINE),Enniskillen Bus Station,13.05,Dr. HAIGNEY & PARTNERS              ,1.23,BT94 1EH
345,CASTLE ARCHDALE,Enniskillen Bus Station,15.89,Dr. HAIGNEY & PARTNERS              ,5.77,BT94 1EH
346,PURDYSBURN HOUSE,Belfast - Balmoral Rail Halt,4.34,Dr. HAIGNEY & PARTNERS              ,2.57,BT94 1EH
347,BELVOIR (FOREST PARK),Belfast - Balmoral Rail Halt,2.79,Dr. HAIGNEY & PARTNERS              ,1.78,BT94 1EH
348,CORKHILL or CORKILL,Enniskillen Bus Station,12.26,Dr. HAIGNEY & PARTNERS              ,6.4,BT94 1EH
349,THE WATERFOOT,Enniskillen Bus Station,25.5,Dr. HAIGNEY & PARTNERS              ,16.16,BT94 1EH
350,JAMESTOWN (MAGHERACROSS),Enniskillen Bus Station,10.47,Dr. HAIGNEY & PARTNERS              ,6.38,BT94 1EH
351,SPRINGHILL,Cookstown Bus Station,7.01,Dr. HEARNSHAW & PARTNERS            ,1.5,BT45 7LJ
352,COLEBROOK DEMESNE,Enniskillen Bus Station,17.42,BROOKEBOROUGH & TEMPO PCS,4.39,BT94 4JG
353,TEMPO MANOR,Enniskillen Bus Station,13.04,BROOKEBOROUGH & TEMPO PCS,7.94,BT94 4JG
354,SNOWHILL,Enniskillen Bus Station,9.18,BROOKEBOROUGH & TEMPO PCS,6.46,BT94 4JG
355,BELFAST CASTLE,Belfast - Yorkgate Rail Station,3.8,Dr. HARKIN & PARTNERS               ,1.52,BT15 5GF
