,Tourist Sites,Near_T_Hub,Trans_Dist,Near_GP,GP_Dist,PostCode
119,SAINTFIELD HOUSE,Comber Bus Station,10.66,Dr. ROSS & PARTNERS                 ,1.28,BT24 7AD
120,LISNAMALLARD (MILLBANK) HOUSE,Omagh Bus Station,0.66,Dr. QUINN & PARTNERS                ,3.14,BT35 0BE
121,BELLARENA,Bellarena Rail Halt,1.54,Dr. QUINN & PARTNERS                ,7.38,BT35 0BE
122,BALLYMOYER,Newry Rail Station,10.37,Dr. QUINN & PARTNERS                ,3.91,BT35 0BE
123,CREEVENAGH,Omagh Bus Station,1.12,Dr. QUINN & PARTNERS                ,2.43,BT35 0BE
124,EDENFEL,Omagh Bus Station,1.51,Dr. QUINN & PARTNERS                ,2.07,BT35 0BE
125,ARDNARGLE,Limavady Bus Station,0.93,Dr. QUINN & PARTNERS                ,1.99,BT35 0BE
126,WALWORTH,Limavady Bus Station,4.85,Dr. QUINN & PARTNERS                ,5.46,BT35 0BE
127,DERRYMORE HOUSE and THE WOODHOUSE,Newry Rail Station,1.47,Dr. MCKERNAN & PARTNER              ,1.45,BT35 7AW
128,FORKILL (FORKHILL) HOUSE,Newry Bus Station,13.03,MAPHONER SURGERY,5.14,BT35 9RA
129,MOYOLA PARK,Magherafelt Bus Station,4.57,Dr. HINDS & PARTNERS                ,0.82,BT45 8AZ
